Position,Name,teamAbbrev,Actual,Salary,AvgPointsPerGame,Ownership,OwnershipTier,,,
RB,Carlos Hyde,SF,24.4,5200,13.12,40%,H,Avg,5.079132948,
RB,Todd Gurley II,LAR,40.9,6800,15.72,33%,H,,,
RB,Ty Montgomery,GB,13,6900,15.42,24%,M,,,
TE,Zach Ertz,PHI,18.5,5000,12.19,22%,M,,,
WR,Rashard Higgins,CLE,3,4000,8.47,21%,M,,,
DST,Eagles ,PHI,4,3000,8.95,19%,M,CutOff ,10,?
RB,Le'Veon Bell,PIT,21.8,8800,18.21,17%,M,,,
TE,Jack Doyle,IND,2.6,3600,10.12,16%,M,,,
WR,Davante Adams,GB,9,5600,14.79,15%,M,,,
QB,Matthew Stafford,DET,16.46,6200,18.87,14%,M,,,
RB,Kareem Hunt,KC,28.3,8000,17.77,14%,M,,,
RB,Jay Ajayi,MIA,4.5,7700,15,14%,M,,,
WR,A.J. Green,CIN,30.1,8100,15.54,13%,M,,,
WR,Cooper Kupp,LAR,3.7,4700,9.08,12%,M,,,
WR,Antonio Brown,PIT,30,9000,18.25,12%,M,,,
QB,Derek Carr,OAK,7.22,6800,15.83,12%,M,,,
WR,Keenan Allen,LAC,11.1,7200,16.43,12%,M,,,
WR,Tyreek Hill,KC,20,6600,14.42,12%,M,,,
TE,Jason Witten,DAL,1.3,4500,10.44,11%,M,,,
WR,Michael Crabtree,OAK,1.7,7400,14.8,11%,M,,,
WR,Mike Evans,TB,13.7,7500,16.32,11%,M,,,
DST,Rams ,LAR,4,3500,6.86,11%,M,,,
RB,C.J. Anderson,DEN,6.3,5800,12.86,10%,M,,,
QB,Aaron Rodgers,GB,28.82,7300,22.46,10%,M,,,
TE,Travis Kelce,KC,1.1,6000,13.82,10%,M,,,
WR,Kelvin Benjamin,CAR,2.8,6700,13.38,10%,L,,,
WR,Jermaine Kearse,NYJ,7.2,4600,9.87,10%,L,,,
DST,Ravens ,BAL,-4,3900,7.81,10%,L,,,
RB,Christian McCaffrey,CAR,23.7,6100,12.8,9%,L,,,
WR,Terrelle Pryor Sr.,WAS,3.9,5900,13.23,9%,L,,,
TE,Eric Ebron,DET,2.9,3300,10.28,9%,L,,,
DST,Steelers ,PIT,6,3400,8.3,9%,L,,,
RB,Devonta Freeman,ATL,25.8,6700,17.5,8%,L,,,
RB,Javorius Allen,BAL,7.8,5000,9.43,8%,L,,,
WR,J.J. Nelson,ARI,0,5300,11.35,8%,L,,,
WR,DeSean Jackson,TB,18.4,4600,11.16,8%,L,,,
QB,Kirk Cousins,WAS,29.8,6100,18.49,8%,L,,,
WR,Golden Tate,DET,18.8,6900,14.48,8%,L,,,
RB,Ezekiel Elliott,DAL,18.4,8300,18.66,7%,L,,,
TE,Jared Cook,OAK,14.3,3100,9.24,7%,L,,,
WR,DeAndre Hopkins,HOU,14.6,6200,14.74,7%,L,,,
WR,Devin Funchess,CAR,9.8,4200,8.59,7%,L,,,
DST,Broncos ,DEN,4,3600,7.74,7%,L,,,
QB,Carson Wentz,PHI,13.24,5900,16.14,7%,L,,,
WR,Sammy Watkins,LAR,31.6,5500,12.29,7%,L,,,
RB,Mike Gillislee,NE,3.1,5700,11.81,7%,L,,,
WR,Martavis Bryant,PIT,5,5700,10.63,6%,L,,,
DST,Patriots ,NE,6,3800,8.34,6%,L,,,
QB,Jared Goff,LAR,23.58,5200,13.34,6%,L,,,
WR,Alshon Jeffery,PHI,9.6,5900,12.7,6%,L,,,
WR,Amari Cooper,OAK,1.6,7100,13.94,6%,L,,,
WR,Mohamed Sanu,ATL,12.8,4500,9.65,6%,L,,,
RB,Isaiah Crowell,CLE,7.4,4800,12.49,6%,L,,,
WR,Julio Jones,ATL,16.1,9300,21.28,6%,L,,,
QB,Alex Smith,KC,15.1,5900,18.07,5%,L,,,
WR,Demaryius Thomas,DEN,15.8,5900,14.52,5%,L,,,
WR,Emmanuel Sanders,DEN,14.5,5800,13.88,5%,L,,,
WR,Jarvis Landry,MIA,10.8,6800,14.54,5%,L,,,
RB,Chris Thompson,WAS,33.8,4500,10.45,5%,L,,,
WR,Adam Thielen,MIN,14.8,5700,11.43,5%,L,,,
RB,Theo Riddick,DET,7.8,5100,8.97,5%,L,,,
QB,Tom Brady,NE,39.72,7700,20.21,5%,L,,,
QB,Cam Newton,CAR,11.28,6600,19.51,5%,L,,,
WR,Pierre Garcon,SF,24.2,5300,13.17,5%,L,,,
WR,DeVante Parker,MIA,21.6,6300,12.98,4%,L,,,
RB,Marshawn Lynch,OAK,3.6,6000,12.97,4%,L,,,
TE,Martellus Bennett,GB,4.2,4000,10.25,4%,L,,,
WR,Jamison Crowder,WAS,10.2,4900,10.43,4%,L,,,
RB,James White,NE,3.8,5400,9.43,4%,L,,,
DST,Dolphins ,MIA,5,3700,6.59,4%,L,,,
DST,Panthers ,CAR,0,2600,6.57,4%,L,,,
QB,Ben Roethlisberger,PIT,13,6200,15.73,4%,L,,,
WR,Doug Baldwin,SEA,29.5,6400,15.28,4%,L,,,
RB,Dalvin Cook,MIN,27.9,5900,14.52,4%,L,,,
RB,Tarik Cohen,CHI,14.2,5600,12.38,4%,L,,,
DST,Buccaneers ,TB,-1,3200,7.4,4%,L,,,
WR,Brandin Cooks,NE,35.1,7300,14.15,4%,L,,,
QB,DeShone Kizer,CLE,25.08,5000,14.92,3%,L,,,
WR,Jordy Nelson,GB,23.2,7800,12.78,3%,L,,,
WR,Kenny Golladay,DET,4.5,4600,9.43,3%,L,,,
WR,Dez Bryant,DAL,9.2,6800,14.01,3%,L,,,
QB,Matt Ryan,ATL,16.66,7100,21.4,3%,L,,,
TE,Austin Hooper,ATL,1.9,3800,7.03,3%,L,,,
TE,Zach Miller,CHI,2.7,3000,7.4,3%,L,,,
WR,Marvin Jones Jr.,DET,5.4,4200,9.64,3%,L,,,
QB,Trevor Siemian,DEN,9.56,5500,15.84,3%,L,,,
DST,Titans ,TEN,1,2700,6.47,3%,L,,,
RB,Leonard Fournette,JAX,17,6000,14.43,3%,L,,,
RB,Derrick Henry,TEN,7.4,5300,7.48,3%,L,,,
TE,Benjamin Watson,BAL,10.2,3700,7.54,3%,L,,,
TE,Delanie Walker,TEN,7.1,4400,10.91,3%,L,,,
DST,Browns ,CLE,4,3000,5.64,3%,L,,,
DST,Packers ,GB,6,3400,7.55,3%,L,,,
WR,Larry Fitzgerald,ARI,36.9,6400,13.94,3%,L,,,
WR,Jeremy Maclin,BAL,1.8,5200,11.24,3%,L,,,
WR,Stefon Diggs,MIN,40.3,6500,13,3%,L,,,
WR,Rishard Matthews,TEN,20.7,4200,11.26,3%,L,,,
WR,Cole Beasley,DAL,1.4,4700,9.44,2%,L,,,
RB,Darren Sproles,PHI,1.1,3900,10.43,2%,L,,,
WR,T.Y. Hilton,IND,31.3,5200,13.38,2%,L,,,
QB,Philip Rivers,LAC,6.48,6400,17.52,2%,L,,,
WR,Nelson Agholor,PHI,4,4200,7.75,2%,L,,,
WR,Michael Thomas,NO,21.7,7000,15.98,2%,L,,,
WR,Marqise Lee,JAX,10.5,4400,11.61,2%,L,,,
WR,Allen Hurns,JAX,11,4600,8.82,2%,L,,,
TE,Coby Fleener,NO,3.1,4100,9,2%,L,,,
DST,Chiefs ,KC,12,2900,7.32,2%,L,,,
WR,Eric Decker,TEN,8.9,4000,8.27,2%,L,,,
RB,Jonathan Stewart,CAR,7.1,4700,9.15,2%,L,,,
QB,Jay Cutler,MIA,12.7,6100,16.16,2%,L,,,
TE,Hunter Henry,LAC,0,3900,8.76,2%,L,,,
WR,Tyrell Williams,LAC,3.5,4600,10.84,2%,L,,,
RB,Ameer Abdullah,DET,11.6,4700,9.74,2%,L,,,
TE,Charles Clay,BUF,15.9,3400,9.01,2%,L,,,
DST,Cowboys ,DAL,7,2800,8.17,2%,L,,,
WR,Danny Amendola,NE,7.8,5400,5.56,2%,L,,,
TE,Kyle Rudolph,MIN,1.4,4200,11.34,2%,L,,,
DST,Raiders ,OAK,5,2500,6.97,2%,L,,,
TE,Evan Engram,NYG,9.5,3200,8.43,2%,L,,,
QB,Andy Dalton,CIN,16.28,5100,15.9,2%,L,,,
DST,49ers ,SF,0,2900,5.36,2%,L,,,
TE,Rob Gronkowski,NE,22.9,6800,12.14,2%,L,,,
RB,Lamar Miller,HOU,7.3,5000,10.06,2%,L,,,
WR,Jaron Brown,ARI,10.7,3700,6.29,2%,L,,,
RB,LeSean McCoy,BUF,13.9,7000,16.51,2%,L,,,
RB,Melvin Gordon,LAC,13.9,7600,16.39,2%,L,,,
RB,Frank Gore,IND,12.7,4200,11.57,2%,L,,,
TE,Ed Dickson,CAR,1.8,2700,6.66,2%,L,,,
DST,Jets ,NYJ,14,2100,5.44,2%,L,,,
RB,Chris Carson,SEA,13.2,4900,8.67,2%,L,,,
TE,Gerald Everett,LAR,0,2500,4.3,1%,L,,,
WR,Kendall Wright,CHI,0,4300,10.13,1%,L,,,
WR,Brandon Coleman,NO,8.1,3900,6.61,1%,L,,,
WR,Odell Beckham Jr.,NYG,28.9,8600,15.75,1%,L,,,
WR,Marquise Goodwin,SF,8.2,3500,7.41,1%,L,,,
WR,Kenny Stills,MIA,9.1,4400,9.36,1%,L,,,
QB,Jameis Winston,TB,21.52,6000,16.92,1%,L,,,
DST,Colts ,IND,6,3200,7.14,1%,L,,,
RB,Jacquizz Rodgers,TB,1.5,4600,11.54,1%,L,,,
QB,Brian Hoyer,SF,30.18,4800,12.82,1%,L,,,
WR,Ted Ginn Jr.,NO,13.9,4100,11.04,1%,L,,,
WR,Brandon LaFell,CIN,1.5,3700,8.67,1%,L,,,
RB,Tevin Coleman,ATL,11.9,5300,11.45,1%,L,,,
QB,Jacoby Brissett,IND,27.76,4800,13.66,1%,L,,,
WR,Tyler Lockett,SEA,5,4300,8.2,1%,L,,,
DST,Saints ,NO,14,2000,4.59,1%,L,,,
DST,Lions ,DET,13,2400,5.38,1%,L,,,
QB,Dak Prescott,DAL,22.92,5800,17.21,1%,L,,,
DST,Jaguars ,JAX,12,3400,7.78,1%,L,,,
TE,Jesse James,PIT,3.9,3300,7.44,1%,L,,,
DST,Bills ,BUF,8,2600,5.64,1%,L,,,
WR,Jordan Matthews,BUF,9.1,3500,9.64,1%,L,,,
RB,Joe Mixon,CIN,13.1,4500,7.55,1%,L,,,
TE,Julius Thomas,MIA,4.6,3000,6.98,1%,L,,,
RB,Chris Johnson,ARI,3.1,4200,6.23,1%,L,,,
WR,Geronimo Allison,GB,21.2,3000,5.13,1%,L,,,
DST,Falcons ,ATL,3,2500,6.21,1%,L,,,
QB,Drew Brees,NO,20.8,7200,21.02,1%,L,,,
WR,Brandon Marshall,NYG,14.6,5000,7.8,1%,L,,,
QB,Carson Palmer,ARI,24.7,6000,17.08,1%,L,,,
QB,Deshaun Watson,HOU,25.14,4700,13.33,1%,L,,,
WR,Chris Hogan,NE,22.8,6100,9.64,1%,L,,,
TE,Cameron Brate,TB,13.3,3000,7.15,1%,L,,,
TE,Vernon Davis,WAS,16.8,3000,4.37,1%,L,,,
WR,Terrance Williams,DAL,7.7,3600,7.83,1%,L,,,
RB,Mark Ingram,NO,10.6,4500,11.7,1%,L,,,
WR,Kenny Britt,CLE,14.4,4100,7.94,1%,L,,,
DST,Texans ,HOU,9,2300,5,1%,L,,,
DST,Vikings ,MIN,9,3300,7.84,1%,L,,,
WR,Travis Benjamin,LAC,19.4,3500,6.63,1%,L,,,
TE,David Njoku,CLE,9.2,2800,6.4,1%,L,,,
DST,Seahawks ,SEA,-1,3500,6.35,1%,L,,,
TE,George Kittle,SF,1.8,2500,6.22,1%,L,,,
RB,Duke Johnson Jr.,CLE,22.4,4200,9.82,0%,L,,,
TE,Austin Seferian-Jenkins,NYJ,8.1,3000,5.35,0%,L,,,
TE,Jordan Reed,WAS,0,5400,12.71,0%,L,,,
WR,Robby Anderson,NYJ,18.5,3400,8.57,0%,L,,,
WR,Torrey Smith,PHI,6.9,3600,7.24,0%,L,,,
WR,Taylor Gabriel,ATL,18.9,4000,8.22,0%,L,,,
WR,Chris Conley,KC,0,3200,6.44,0%,L,,,
RB,Jalen Richard,OAK,1.8,4100,6.29,0%,L,,,
TE,Virgil Green,DEN,4.8,2700,4.66,0%,L,,,
TE,Tyler Higbee,LAR,1.4,2500,4.56,0%,L,,,
QB,Russell Wilson,SEA,36.52,6300,18.29,0%,L,,,
QB,Josh McCown,NYJ,14.66,4500,13.41,0%,L,,,
WR,Mike Wallace,BAL,2,3700,8.42,0%,L,,,
WR,Tavon Austin,LAR,0.4,3400,5.65,0%,L,,,
WR,Sterling Shepard,NYG,29.3,4700,9.42,0%,L,,,
WR,Donte Moncrief,IND,6.4,3800,7.55,0%,L,,,
DST,Redskins ,WAS,14,2400,5.19,0%,L,,,
QB,Marcus Mariota,TEN,19.7,6000,14.75,0%,L,,,
DST,Cardinals ,ARI,0,2900,6.94,0%,L,,,
QB,Joe Flacco,BAL,-0.88,5300,13.74,0%,L,,,
RB,Alvin Kamara,NO,13.2,4000,8.74,0%,L,,,
RB,Matt Forte,NYJ,2.5,4300,8.5,0%,L,,,
WR,Paul Richardson,SEA,11,4100,7.48,0%,L,,,
DST,Giants ,NYG,5,3100,6.69,0%,L,,,
TE,Ryan Griffin,HOU,17.1,3000,0,0%,L,,,
QB,Eli Manning,NYG,27.64,5300,14.5,0%,L,,,
WR,Robert Woods,LAR,19.8,3300,7.74,0%,L,,,
TE,Antonio Gates,LAC,5,3000,7.39,0%,L,,,
TE,Seth DeValve,CLE,4.9,2600,4.96,0%,L,,,
WR,Ryan Grant,WAS,6.1,3500,4.04,0%,L,,,
WR,Randall Cobb,GB,0,6000,0,0%,L,,,
RB,LeGarrette Blount,PHI,12.7,3900,7.47,0%,L,,,
DST,Bears ,CHI,10,2200,4.73,0%,L,,,
QB,Tyrod Taylor,BUF,17.82,4900,14.18,0%,L,,,
RB,Samaje Perine,WAS,5.5,4500,5.63,0%,L,,,
WR,Andre Holmes,BUF,8.6,3000,5.03,0%,L,,,
RB,Matt Breida,SF,5.9,3800,4.35,0%,L,,,
DST,Chargers ,LAC,5,2800,8.46,0%,L,,,
RB,Giovani Bernard,CIN,11.9,3800,7.2,0%,L,,,
RB,Jamaal Charles,DEN,12.7,4200,6.52,0%,L,,,
WR,Seth Roberts,OAK,5,3400,6.13,0%,L,,,
WR,Russell Shepard,CAR,0,3500,5.16,0%,L,,,
QB,Sam Bradford,MIN,0,5700,8.89,0%,L,,,
RB,Terrance West,BAL,1.6,4900,8.75,0%,L,,,
RB,Shane Vereen,NYG,4.3,4000,7.27,0%,L,,,
WR,Eli Rogers,PIT,-1,3600,7.12,0%,L,,,
WR,Adam Humphries,TB,12.8,3100,5.77,0%,L,,,
DST,Bengals ,CIN,14,2500,6.38,0%,L,,,
TE,Richard Rodgers,GB,0,2700,0,0%,L,,,
QB,Case Keenum,MIN,31.56,4500,10.58,0%,L,,,
TE,Jimmy Graham,SEA,14.2,4600,9.04,0%,L,,,
WR,Zay Jones,BUF,0,3100,7.35,0%,L,,,
RB,Adrian Peterson,NO,5.7,3900,6.48,0%,L,,,
RB,Kerwynn Williams,ARI,0.3,4000,5.33,0%,L,,,
RB,Alex Collins,BAL,8.2,3500,3.35,0%,L,,,
